거래ID,날짜,카테고리,가맹점,결제수단,금액,메모
TX100721,2025-09-27,식비,배달의민족,신용카드,19400.0,
TX100646,2025-09-01,식비,쿠팡이츠,신용카드,15400.0,
TX100943,2025-12-20,쇼핑,이마트,신용카드,37000.0,
TX100903,2025-12-04,카페/간식,스타벅스,간편결제,4800.0,
TX100710,2025-09-24,카페/간식,파리바게뜨,체크카드,4100.0,
TX100374,2025-05-21,식비,본죽,간편결제,12600.0,
TX100679,2025-09-11,식비,동네식당,체크카드,24600.0,
TX100926,2025-12-12,교통,서울교통공사,체크카드,2300.0,
TX100647,2025-09-01,카페/간식,투썸플레이스,신용카드,6200.0,
TX100798,2025-10-25,문화/여가,호텔예약,신용카드,20400.0,
TX100846,2025-11-14,식비,편의점(GS25),신용카드,13600.0,
TX100461,2025-06-23,교통,서울교통공사,체크카드,2000.0,
TX100414,2025-06-08,카페/간식,베스킨라빈스,신용카드,7900.0,
TX100134,2025-02-18,쇼핑,이마트,신용카드,60500.0,
TX100040,2025-01-13,교통,주차장,신용카드,4000.0,
TX100438,2025-06-15,경조사/기타,벌금/과태료,신용카드,97500.0,
TX100216,2025-03-22,카페/간식,컴포즈커피,간편결제,5700.0,
TX100556,2025-07-29,카페/간식,메가커피,체크카드,5500.0,
TX100567,2025-08-02,교통,주차장,체크카드,3700.0,
TX100763,2025-10-11,식비,편의점(GS25),신용카드,12300.0,
TX100476,2025-06-28,카페/간식,투썸플레이스,신용카드,3100.0,
TX100457,2025-06-22,카페/간식,파리바게뜨,간편결제,8800.0,
TX100812,2025-10-30,문화/여가,여행사,신용카드,43100.0,
TX100261,2025-04-08,쇼핑,무신사,신용카드,70600.0,
TX100817,2025-11-01,쇼핑,무신사,간편결제,1000.0,
TX100036,2025-01-12,카페/간식,컴포즈커피,신용카드,4100.0,
TX100828,2025-11-07,식비,교촌치킨,신용카드,13200.0,
TX100310,2025-04-28,카페/간식,파리바게뜨,신용카드,9300.0,
TX100277,2025-04-15,주거/관리비,아파트관리비,신용카드,591400.0,
TX100636,2025-08-28,식비,김밥천국,신용카드,15100.0,
TX100652,2025-09-03,식비,배달의민족,신용카드,11400.0,
TX100623,2025-08-23,식비,한솥도시락,신용카드,14000.0,
TX100836,2025-11-10,식비,쿠팡이츠,간편결제,15600.0,
TX100845,2025-11-13,주거/관리비,아파트관리비,체크카드,526200.0,
TX100393,2025-05-29,카페/간식,메가커피,신용카드,9400.0,
TX100911,2025-12-07,식비,교촌치킨,신용카드,13600.0,
TX100108,2025-02-08,카페/간식,스타벅스,체크카드,4800.0,
TX100917,2025-12-09,식비,본죽,간편결제,1000.0,
TX100525,2025-07-18,카페/간식,메가커피,신용카드,9200.0,
TX100785,2025-10-21,카페/간식,투썸플레이스,간편결제,5300.0,
TX100048,2025-01-16,식비,맘스터치,신용카드,16600.0,
TX100204,2025-03-18,쇼핑,다이소,신용카드,1000.0,
TX100901,2025-12-03,교통,서울교통공사,신용카드,1700.0,
TX100632,2025-08-26,교통,주차장,신용카드,5900.0,
TX100022,2025-01-06,통신,LGU+,신용카드,67300.0,
TX100403,2025-06-01,카페/간식,컴포즈커피,신용카드,3700.0,
TX100083,2025-01-30,식비,요기요,신용카드,20400.0,
TX100131,2025-02-17,교통,카카오T,체크카드,4900.0,
TX100416,2025-06-08,주거/관리비,한국전력공사,간편결제,476800.0,
TX100842,2025-11-12,교통,주유소(SK),신용카드,2700.0,
TX100742,2025-10-03,카페/간식,파리바게뜨,신용카드,8000.0,
TX100699,2025-09-20,교통,카카오T,신용카드,4200.0,
TX100286,2025-04-19,식비,배달의민족,신용카드,21900.0,
TX100124,2025-02-14,교통,SRT,간편결제,5500.0,
TX100034,2025-01-11,교통,주유소(SK),신용카드,1700.0,
TX100945,2025-12-21,카페/간식,파리바게뜨,간편결제,7700.0,
TX100517,2025-07-15,카페/간식,이디야커피,체크카드,7300.0,
TX100020,2025-01-06,카페/간식,메가커피,신용카드,5600.0,
TX100899,2025-12-03,식비,요기요,간편결제,18700.0,
TX100220,2025-03-24,식비,한솥도시락,간편결제,15900.0,
TX100891,2025-11-30,문화/여가,여행사,간편결제,35800.0,
TX100719,2025-09-26,교통,카카오T,체크카드,5400.0,
TX100483,2025-07-01,카페/간식,베스킨라빈스,신용카드,14400.0,
TX100358,2025-05-14,쇼핑,이마트,간편결제,59600.0,
TX100662,2025-09-06,식비,편의점(CU),신용카드,16500.0,
TX100227,2025-03-27,쇼핑,올리브영,신용카드,53700.0,
TX100758,2025-10-09,카페/간식,컴포즈커피,체크카드,5500.0,
TX100093,2025-02-03,식비,요기요,신용카드,15100.0,
TX100152,2025-02-26,카페/간식,메가커피,체크카드,8900.0,
TX100952,2025-12-23,의료/건강,치과,신용카드,17700.0,
TX100318,2025-05-02,쇼핑,지마켓,신용카드,52000.0,
TX100449,2025-06-19,쇼핑,이마트,신용카드,1000.0,
TX100804,2025-10-28,카페/간식,이디야커피,체크카드,3800.0,
TX100746,2025-10-05,식비,한솥도시락,신용카드,6900.0,
TX100523,2025-07-17,교통,서울교통공사,간편결제,4800.0,
TX100280,2025-04-16,주거/관리비,아파트관리비,간편결제,519500.0,
TX100584,2025-08-07,구독서비스,왓챠,신용카드,15400.0,
TX100765,2025-10-12,카페/간식,베스킨라빈스,신용카드,9100.0,
TX100606,2025-08-16,카페/간식,파리바게뜨,신용카드,11100.0,
TX100350,2025-05-12,식비,맘스터치,신용카드,7800.0,
TX100375,2025-05-21,문화/여가,CGV,신용카드,35900.0,
TX100401,2025-05-31,쇼핑,네이버페이,신용카드,79300.0,
TX100705,2025-09-22,교통,서울교통공사,신용카드,3300.0,
TX100258,2025-04-08,식비,동네식당,신용카드,1000.0,
TX100852,2025-11-15,쇼핑,이마트,신용카드,61600.0,
TX100075,2025-01-25,통신,LGU+,간편결제,65300.0,
TX100197,2025-03-16,카페/간식,메가커피,체크카드,9700.0,
TX100486,2025-07-02,교통,카카오T,간편결제,3100.0,
TX100856,2025-11-16,교통,주차장,신용카드,6600.0,
TX100138,2025-02-19,문화/여가,호텔예약,신용카드,50400.0,
TX100495,2025-07-06,카페/간식,파리바게뜨,간편결제,9600.0,
TX100774,2025-10-15,카페/간식,스타벅스,신용카드,5000.0,
TX100551,2025-07-26,구독서비스,유튜브프리미엄,간편결제,5400.0,
TX100463,2025-06-24,문화/여가,호텔예약,체크카드,35200.0,
TX100202,2025-03-18,카페/간식,이디야커피,신용카드,4400.0,
TX100313,2025-04-29,교통,카카오T,간편결제,5300.0,
TX100291,2025-04-21,카페/간식,스타벅스,체크카드,6400.0,
TX100190,2025-03-14,교통,서울교통공사,신용카드,5500.0,
TX100764,2025-10-12,식비,편의점(CU),신용카드,9100.0,
TX100113,2025-02-11,식비,김밥천국,신용카드,16000.0,
TX100184,2025-03-12,쇼핑,올리브영,간편결제,71000.0,
TX100153,2025-02-27,식비,한솥도시락,신용카드,15100.0,
TX100825,2025-11-05,교통,서울교통공사,간편결제,3800.0,
TX100326,2025-05-04,쇼핑,이마트,신용카드,78000.0,
TX100704,2025-09-22,카페/간식,메가커피,신용카드,7000.0,
TX100045,2025-01-15,식비,한솥도시락,체크카드,27900.0,
TX100445,2025-06-18,식비,한솥도시락,신용카드,10200.0,
TX100789,2025-10-22,교통,SRT,신용카드,7000.0,
TX100007,2025-01-02,교통,주유소(SK),신용카드,2600.0,
TX100251,2025-04-05,카페/간식,파리바게뜨,체크카드,2900.0,
TX100824,2025-11-05,식비,편의점(GS25),신용카드,10600.0,
TX100074,2025-01-25,쇼핑,쿠팡,신용카드,98600.0,
TX100513,2025-07-13,식비,요기요,간편결제,12900.0,
TX100941,2025-12-20,식비,김밥천국,신용카드,18700.0,
TX100392,2025-05-28,쇼핑,지마켓,체크카드,83900.0,
TX100896,2025-12-02,식비,요기요,신용카드,18100.0,
TX100433,2025-06-14,식비,쿠팡이츠,신용카드,4500.0,
TX100069,2025-01-24,식비,김밥천국,간편결제,16700.0,
TX100168,2025-03-06,식비,배달의민족,신용카드,14200.0,
TX100907,2025-12-05,교통,SRT,신용카드,5100.0,
TX100729,2025-09-29,교통,서울교통공사,체크카드,1800.0,
TX100555,2025-07-29,식비,한솥도시락,신용카드,10200.0,
TX100367,2025-05-18,쇼핑,네이버페이,간편결제,32300.0,
TX100345,2025-05-10,식비,요기요,체크카드,10000.0,
TX100587,2025-08-08,구독서비스,왓챠,신용카드,14500.0,
TX100536,2025-07-21,구독서비스,유튜브프리미엄,체크카드,,
TX100399,2025-05-31,식비,편의점(GS25),간편결제,14700.0,
TX100186,2025-03-13,식비,교촌치킨,신용카드,1700.0,
TX100349,2025-05-11,의료/건강,약국,체크카드,19900.0,
TX100616,2025-08-19,통신,KT,체크카드,65700.0,
TX100921,2025-12-10,카페/간식,이디야커피,신용카드,4000.0,
TX100210,2025-03-20,식비,한솥도시락,신용카드,16700.0,
TX100580,2025-08-06,카페/간식,메가커피,신용카드,105000.0,
TX100503,2025-07-09,카페/간식,베스킨라빈스,간편결제,10000.0,
TX100538,2025-07-22,카페/간식,컴포즈커피,신용카드,2900.0,
TX100196,2025-03-16,식비,쿠팡이츠,신용카드,13300.0,
TX100176,2025-03-09,식비,교촌치킨,체크카드,6700.0,
